Age,PlayTimeHours,InGamePurchases,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel,Gender_Female,Gender_Male,Location_Asia,Location_Europe,Location_Other,Location_USA,GameGenre_Action,GameGenre_RPG,GameGenre_Simulation,GameGenre_Sports,GameGenre_Strategy,GameDifficulty_Easy,GameDifficulty_Hard,GameDifficulty_Medium
32,13.38350328204907,0,2,70,83,20,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
30,14.581173724622545,0,5,132,9,41,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
21,15.612412214775116,1,10,173,59,15,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0
18,1.1093121178280327,0,14,13,96,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
31,22.79108086165966,0,13,46,11,5,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0
46,20.86742910775458,0,13,156,14,49,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0
29,9.158414283941925,0,12,120,38,48,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0
25,15.529763604636798,1,11,45,79,28,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0
29,12.489077538865562,0,11,16,29,46,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
34,18.673333630345365,1,1,119,28,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
40,17.91989416714644,0,19,113,49,27,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1
47,7.362402545948816,0,3,80,72,38,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
16,6.468551989779119,0,16,17,32,42,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
35,19.29962533304164,0,1,167,60,32,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
23,16.749208062381925,0,0,152,27,24,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
43,17.74932563372384,0,1,13,77,18,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
29,13.824887509640725,0,19,29,2,45,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0
48,5.76102906678365,1,10,38,27,33,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
24,18.921654228975843,0,13,156,31,11,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0
24,18.588981929743603,0,7,61,62,24,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0
48,21.21583622985019,1,12,120,92,0,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0
23,3.715548280503348,0,12,73,98,31,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
45,0.1435414121991201,0,19,146,52,37,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1
29,4.857423690390358,0,1,103,71,23,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
37,5.41351627897783,1,17,154,52,32,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0
29,3.8516268490725647,0,1,137,72,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
31,6.167481018328072,0,19,100,73,45,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1
31,12.283352436912775,0,9,17,28,7,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
30,22.713957767670635,0,1,114,85,23,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
49,23.595256099650754,0,16,171,77,8,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0
37,17.80255919084472,0,9,154,67,31,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0
37,19.806164399681727,0,17,140,11,33,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0
